Year,Owner Percentage of Housing Need,Renter Percentage of Housing Need,Very Low Income (20% or under of AMHI),Low Income (21% to 50% of AMHI),Moderate Income (51% to 80% of AMHI),Median Income (81% to 120% of AMHI),High Income (121% and more of AMHI),0 to 17 years old in core housing need,18 to 24 years old in core housing need,25 to 54 years old in core housing need,55 to 64 years old in core housing need,65 years and older in core housing need,Single mother-led,Women-led,Indigenous,Head member of racialized group,Black-led,New migrant-led,Refugee claimant-led,Head under 25,Head over 65,Head over 85,Household with physical activity limitation,"Household with cognitive, mental, or substance use issue",Transgender or non-binary,Community (all)
2016,0.268,0.732,0.667,0.538,0.107,0,0,,,,,,0.306,0.169,0.174,0.192,0.262,0.349,0.316,0.221,0.147,0.189,0.119,0.124,,0.131
2021,0.267,0.733,0.621,0.481,0.087,0.008,0,25295,8630,34025,9725,15220,0.253,0.137,0.148,0.143,0.2,0.227,0.235,0.165,0.126,0.161,0.094,0.091,0.131,0.112
